buyingprice,maintprice,doors,persons,lug_boot,safety,recommend,,frekuensi,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,small,low,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,small,med,unacc,,recommend,buypr_vhigh,buypr_high,buypr_med,buypr_low,maintpr_vhigh,maintpr_high,maintpr_med,maintpr_low,doors_2,doors_3,doors_4,doors_5more,persons_2,persons_4,persons_more,lgboot_sm,lgboot_med,lgboot_big,safety_low,safety_med,safety_high,total
vhigh,vhigh,2,2,small,high,unacc,,unacc,360,324,268,258,360,314,268,268,326,300,292,292,576,312,322,450,392,368,576,357,277,1210
vhigh,vhigh,2,2,med,low,unacc,,acc,72,108,115,89,72,105,115,92,81,99,102,102,0,198,186,105,135,144,0,180,204,384
vhigh,vhigh,2,2,med,med,unacc,,good,0,0,23,46,0,0,23,46,15,18,18,18,0,36,33,21,24,24,0,39,30,69
vhigh,vhigh,2,2,med,high,unacc,,vgood,0,0,26,0,0,13,26,26,0,15,20,20,0,30,35,0,25,40,0,0,65,65
vhigh,vhigh,2,2,big,low,unacc,,,432,432,432,393,432,432,432,432,422,432,432,432,576,576,576,576,576,576,576,576,576,1728
vhigh,vhigh,2,2,big,med,unacc,,,,,,,,,,,,,,,,,,,,,,,,
vhigh,vhigh,2,2,big,high,unacc,,Prior,,,,,,,,likelihood,,,,,,,,P(buypr_vhigh|acc),,0.166666667,,P(persons_2|acc),,0
vhigh,vhigh,2,4,small,low,unacc,,P(unacc),0.700231481,,,,,,,P(buypr_vhigh|unacc),,0.833333333,,P(persons_2|unacc),,1,,P(buypr_high|acc),,0.25,,P(persons_4|acc),,0.34375
vhigh,vhigh,2,4,small,med,unacc,,P(acc),0.222222222,,,,,,,P(buypr_high|unacc),,0.75,,P(persons_4|unacc),,0.541666667,,P(buypr_med|acc),,0.266203704,,P(persons_more|acc),,0.322916667
